unique_id,citation_context,citation_class_label,predicted_classes,non_cleaned_prediction
N01-1009_9,@@CITATION@@ avoids enumerating the various senses for adjectives like fast by exploiting the semantics of the nouns they modify .,BACKGROUND,MOTIVATION,motivation - this citation suggests that the referenced work is
J13-1008_28,@@CITATION@@ have conducted a study on dependency parsing for 21 languages using features that encode whether the values for certain attributes are equal or not for a node and its governor .,BACKGROUND,,motivation (assuming they introduced motivation for their specific
P02-1001_9,"Such approaches have been tried recently in restricted cases ( McCallum et al. , 2000 ; @@CITATION@@b ; Lafferty et al. , 2001 ) .",BACKGROUND,COMPARES_CONTRASTS,compares_contrasts - this citation is comparing
J90-3003_4,"The relation between discourse and prosodic phrasing has been examined in some detail by @@CITATION@@ , who argues that each noun phrase in an utterance constitutes a separate prosodic phrase unless it is destressed because of reference to previous discourse .",BACKGROUND,,comparison_or_contrasts
W06-2933_1,"By contrast , Turkish ( Oflazer et al. , 2003 ; @@CITATION@@ ) exhibits high root accuracy but consistently low attachment scores ( about 88 % for length 1 and 68 % for length 2 ) .",COMPARES_CONTRASTS,COMPARES_CONTRASTS,compares_contrasts - this citation is comparing
J04-3001_7,"The candidate examples that lead to the most disagreements among the different learners are considered to have the highest TUV ( Cohn , Atlas , and Ladner 1994 ; @@CITATION@@ ) .",BACKGROUND,,comparison_or_contrasts
P11-1134_15,"Subsequently , we extracted the bilingual phrase table from the aligned corpora using the Moses toolkit ( @@CITATION@@ ) .",USES,,extends - this citation indicates that the method extends previous work
J92-1004_20,"Representative systems are described in Boisen et al. ( 1989 ) , De Mattia and Giachin ( 1989 ) , Niedermair ( 1989 ) , Niemann ( 1990 ) , and @@CITATION@@ .",BACKGROUND,,background - this citation is providing context or background
J90-3003_12,"Our rules for phonological word formation are adopted , for the most part , from G & G , @@CITATION@@ , and the account of monosyllabic destressing in Selkirk ( 1984 ) .",USES,,background - this citation is providing background information on
J05-3003_7,"As a generalization , @@CITATION@@ notes that lexicons such as COMLEX tend to demonstrate high precision but low recall .",BACKGROUND,,comparison_or_contrasts - this c
W06-3813_17,"Such systems extract information from some types of syntactic units ( clauses in ( Fillmore and Atkins , 1998 ; Gildea and Jurafsky , 2002 ; @@CITATION@@ ) ; noun phrases in ( Hull and Gomez , 1996 ; Rosario et al. , 2002 ) ) .",BACKGROUND,BACKGROUND,background - this citation discusses the types of
W06-1104_15,"Various approaches for computing semantic relatedness of words or concepts have been proposed , e.g. dictionary-based ( Lesk , 1986 ) , ontology-based ( Wu and Palmer , 1994 ; Leacock and Chodorow , 1998 ) , information-based ( Resnik , 1995 ; @@CITATION@@ ) or distributional ( Weeds and Weir , 2005 ) .",BACKGROUND,BACKGROUND,background - this citation discusses various approaches for
P11-1134_8,"Besides WordNet , the RTE literature documents the use of a variety of lexical information sources ( Bentivogli et al. , 2010 ; @@CITATION@@ ) .",BACKGROUND,,comparison_or_contrasts - this c
J09-4010_16,"The question answering system developed by @@CITATION@@ belongs to the merging category of approaches , where the output of an individual method can be used as input to a different method ( this corresponds to Burke 's cascade sub-category ) .",COMPARES_CONTRASTS,,comparison_or_contrasts
W04-1610_2,"More recently , ( Sebastiani , 2002 ) has performed a good survey of document categorization ; recent works can also be found in ( Joachims , 2002 ) , ( @@CITATION@@ ) , and ( Lewis et al. , 2004 ) .",BACKGROUND,MOTIVATION,motivation - this citation indicates that the paper provides a
J00-4001_2,Discriminant analysis has been employed by researchers in automatic text genre detection ( @@CITATION@@b ; Karlgren and Cutting 1994 ) since it offers a simple and robust solution despite the fact that it presupposes normal distributions of the discriminating variables .,BACKGROUND,,comparison_or_contrasts
D13-1115_1,"This model has previously been shown to provide excellent performance on multiple tasks , including prediction of association norms , word substitution errors , semantic inferences , and word similarity ( @@CITATION@@ ; Silberer and Lapata , 2012 ) .",EXTENDS,MOTIVATION,motivation - this citation is motivating because it highlight
J06-2002_2,"In other words , existing treatments of gradables in GRE fail to take the `` efficiency of language '' into account ( @@CITATION@@ ; see our Section 2 ) .",BACKGROUND,MOTIVATION,motivation
J10-3007_18,"Word alignments are used primarily for extracting minimal translation units for machine translation ( MT ) ( e.g. , phrases [ Koehn , Och , and Marcu 2003 ] and rules [ @@CITATION@@ ; Chiang et al. 2005 ] ) as well as for",BACKGROUND,COMPARES_CONTRASTS,compares_contrasts (the context implies a comparison
W00-1312_10,"Following @@CITATION@@ , the IR system ranks documents according to the probability that a document D is relevant given the query Q , P ( D is R IQ ) .",USES,,comparison_or_contrasts - this c
J05-3003_5,"In modern syntactic theories ( e.g. , lexical-functional grammar [ LFG ] [ Kaplan and Bresnan 1982 ; @@CITATION@@ ; Dalrymple 2001 ] , head-driven phrase structure grammar [ HPSG ] [ Pollard and Sag 1994 ] , tree-adjoining grammar [ TAG ] [ Joshi 1988 ] , and combinatory categorial grammar [ CCG ] [ Ades and Steedman 1982 ] ) , the lexicon is the central repository for much morphological , syntactic , and semantic information .",BACKGROUND,BACKGROUND,background
J91-2003_60,"We have shown elsewhere ( Jensen and Binot 1988 ; @@CITATION@@a , 1987b ) that natural language programs , such as on-line grammars and dictionaries , can be used as referential levels for commonsense reasoning -- for example , to disambiguate PP attachment .",EXTENDS,BACKGROUND,background - this citation refers back to the use
D08-1007_26,"Thus rather than a single training procedure , we can actually partition the examples by predicate , and train a 1For a fixed verb , MI is proportional to @@CITATION@@ 's conditional probability scores for pseudodisambiguation of ( v , n , n â² ) triples : Pr ( v | n ) = Pr ( v , n ) / Pr ( n ) , which was shown to be a better measure of association than co-occurrence frequency f ( v , n ) .",MOTIVATION,COMPARES_CONTRASTS,compares_contrasts
