,Model,Precision,Recall,F1-Score,Accuracy,Method,System_Prompt,Query_Template,Examples_Method,Temperature
293,MISTRAL_NEMO,0.7235,0.7313,0.7268,0.7578,few-shot,2,2,1,1.0
294,GEMMA2-9B,0.7331,0.7425,0.7268,0.7539,one-shot,2,1,1,0.2
295,QWEN2,0.7305,0.7404,0.7267,0.7566,many-shot,3,1,2,0.0
296,QWEN2,0.7309,0.7399,0.7267,0.7566,many-shot,3,1,2,0.2
297,QWEN2.5_14B,0.7133,0.7522,0.7266,0.7474,one-shot,2,1,1,1.0
298,MISTRAL_NEMO,0.7319,0.7221,0.7264,0.7657,one-shot,2,2,1,0.5
299,GEMMA2-27B,0.7211,0.7446,0.7263,0.7534,many-shot,2,1,2,0.2
300,LLAMA3,0.711,0.7698,0.7262,0.7444,many-shot,1,2,2,1.0
301,GEMMA2-27B,0.7485,0.711,0.726,0.7679,one-shot,3,1,2,0.2
302,GEMMA2-27B,0.7168,0.7553,0.7259,0.7555,one-shot,1,2,1,0.0
303,MISTRAL_NEMO,0.7103,0.7788,0.7258,0.7446,many-shot,1,2,1,0.5
304,GEMMA2-27B,0.7451,0.713,0.7258,0.7668,one-shot,3,1,2,0.0
305,MISTRAL_NEMO,0.7105,0.7568,0.7255,0.748,many-shot,1,2,2,0.5
306,MISTRAL_NEMO,0.7529,0.7295,0.7255,0.756,few-shot,1,1,2,0.0
307,QWEN2.5_14B,0.7074,0.7792,0.7254,0.7394,many-shot,2,1,2,0.5
308,GEMMA2-27B,0.7201,0.7437,0.7252,0.7523,many-shot,2,1,2,0.0
309,MISTRAL_NEMO,0.7223,0.7281,0.7251,0.7603,one-shot,1,2,1,0.0
310,GEMMA2-9B,0.7299,0.7454,0.7251,0.7496,one-shot,1,1,1,0.2
311,QWEN2,0.7276,0.7454,0.7249,0.7555,few-shot,1,1,2,0.0
312,GEMMA2-27B,0.7157,0.7544,0.7249,0.7544,one-shot,1,2,1,0.2
313,GEMMA2-9B,0.7654,0.7042,0.7248,0.756,one-shot,2,1,2,0.0
314,GEMMA2-9B,0.7293,0.7462,0.7247,0.7491,one-shot,1,1,1,1.0
315,MISTRAL_NEMO,0.742,0.7233,0.7247,0.7544,many-shot,2,1,2,0.5
316,LLAMA3.1,0.744,0.7103,0.7246,0.7488,few-shot,1,1,2,0.0
317,LLAMA3,0.7101,0.7626,0.7242,0.7397,many-shot,2,2,2,0.2
318,QWEN2,0.7315,0.7572,0.7242,0.7501,few-shot,3,1,2,0.0
319,GEMMA2-9B,0.7758,0.698,0.7241,0.7598,one-shot,1,1,2,0.5
320,LLAMA3.1,0.7421,0.7102,0.7239,0.7468,few-shot,1,1,2,0.2
321,MISTRAL_NEMO,0.7209,0.727,0.7238,0.7582,one-shot,1,2,1,0.2
322,GEMMA2-9B,0.7287,0.7445,0.7234,0.748,one-shot,1,1,1,0.0
323,QWEN2.5_14B,0.715,0.7624,0.723,0.7437,one-shot,3,1,1,1.0
324,GEMMA2-27B,0.7135,0.7541,0.723,0.7512,one-shot,1,2,1,1.0
325,LLAMA3.1,0.7297,0.7196,0.723,0.7405,few-shot,2,1,2,0.0
326,LLAMA3,0.7294,0.782,0.7229,0.7232,few-shot,3,2,2,1.0
327,GEMMA2-27B,0.7189,0.7413,0.7226,0.7501,many-shot,1,1,2,0.0
328,MISTRAL_NEMO,0.7501,0.7277,0.7226,0.755,few-shot,1,1,2,0.2
329,QWEN2.5_14B,0.7142,0.7627,0.7224,0.7426,one-shot,3,1,1,0.0
330,MISTRAL_NEMO,0.7254,0.7221,0.7224,0.7523,many-shot,3,2,2,0.5
331,GEMMA2-9B,0.728,0.7433,0.7224,0.7469,one-shot,1,1,1,0.5
332,GEMMA2-9B,0.7737,0.6955,0.7223,0.7614,one-shot,1,1,2,1.0
333,QWEN2.5_14B,0.7138,0.7619,0.7223,0.7426,one-shot,3,1,1,0.2
334,MISTRAL_NEMO,0.7737,0.7125,0.7221,0.7582,few-shot,3,1,2,0.0
335,GEMMA2-27B,0.7182,0.7421,0.7221,0.7491,many-shot,1,1,2,0.5
336,LLAMA3,0.7078,0.7595,0.7221,0.7376,many-shot,2,2,2,0.0
337,GEMMA2-27B,0.7185,0.7394,0.722,0.7507,many-shot,1,1,2,1.0
338,GEMMA2-9B,0.7165,0.7501,0.7219,0.7431,few-shot,3,1,1,0.0
339,GEMMA2-27B,0.7179,0.7403,0.7218,0.7496,many-shot,1,1,2,0.2
340,GEMMA2-9B,0.775,0.6948,0.7217,0.7593,one-shot,1,1,2,0.0
341,QWEN2,0.7249,0.7387,0.7216,0.7534,few-shot,2,1,2,0.5
342,GEMMA2-9B,0.7625,0.7007,0.7214,0.755,one-shot,2,1,2,0.2
343,GEMMA2-27B,0.742,0.7076,0.7213,0.7625,one-shot,3,1,2,0.5
344,GEMMA2-9B,0.7192,0.7434,0.7213,0.7453,few-shot,2,1,1,0.2
345,QWEN2.5_14B,0.7128,0.7614,0.7211,0.741,one-shot,3,1,1,0.5
346,GEMMA2-9B,0.7116,0.7648,0.721,0.7415,one-shot,3,2,2,0.2
347,GEMMA2-9B,0.7118,0.765,0.7209,0.7415,one-shot,3,2,2,0.0
348,LLAMA3,0.7124,0.7475,0.7208,0.7333,many-shot,3,2,2,1.0
349,MISTRAL_NEMO,0.7107,0.7485,0.7206,0.7501,one-shot,2,2,2,0.5
350,MISTRAL_NEMO,0.7123,0.7462,0.7206,0.7512,one-shot,2,2,2,0.2
351,QWEN2,0.7237,0.7402,0.7206,0.7512,few-shot,1,1,2,0.2
352,LLAMA3,0.7093,0.7697,0.7204,0.7273,few-shot,1,2,2,0.5
353,GEMMA2-9B,0.7156,0.7488,0.7203,0.7421,few-shot,3,1,1,0.2
354,GEMMA2-9B,0.7739,0.6935,0.7203,0.7587,one-shot,1,1,2,0.2
355,QWEN2.5_14B,0.7023,0.7698,0.7202,0.7356,many-shot,2,1,2,0.2
356,LLAMA3.1,0.734,0.7089,0.72,0.7395,few-shot,1,1,2,0.5
357,GEMMA2-27B,0.7096,0.7496,0.72,0.7442,one-shot,3,1,1,0.5
358,MISTRAL_NEMO,0.7728,0.7097,0.7198,0.7582,few-shot,3,1,2,0.2
359,PHI3_MEDIUM,0.7114,0.7699,0.7196,0.7412,one-shot,3,2,2,0.2
360,MISTRAL_NEMO,0.714,0.7261,0.7196,0.7542,one-shot,1,2,1,0.5
361,QWEN2,0.7247,0.7305,0.7193,0.7496,many-shot,3,1,2,0.5
362,MISTRAL_NEMO,0.787,0.6903,0.7191,0.7792,one-shot,3,2,1,0.0
363,QWEN2.5_14B,0.7012,0.7709,0.719,0.7335,many-shot,2,1,2,1.0
364,MISTRAL_NEMO,0.7516,0.6988,0.7189,0.7614,one-shot,1,1,1,0.0
365,QWEN2,0.7278,0.7508,0.7188,0.7458,few-shot,3,1,2,0.2
366,GEMMA2-27B,0.7396,0.705,0.7188,0.763,one-shot,3,1,2,1.0
367,MISTRAL_NEMO,0.7238,0.7203,0.7188,0.7368,few-shot,3,2,1,0.5
368,MISTRAL_NEMO,0.7479,0.7,0.7188,0.7457,many-shot,2,1,1,0.5
369,QWEN2.5_14B,0.7006,0.7684,0.7186,0.7335,many-shot,2,1,2,0.0
370,LLAMA3,0.7093,0.7418,0.7184,0.7347,many-shot,3,2,2,0.2
371,MISTRAL_NEMO,0.7732,0.6974,0.7183,0.7582,few-shot,2,1,2,0.2
372,LLAMA3,0.7044,0.758,0.7182,0.7303,many-shot,2,2,2,0.5
373,GEMMA2-9B,0.7084,0.7646,0.7179,0.7378,one-shot,3,2,2,0.5
374,MISTRAL_NEMO,0.7078,0.7301,0.7177,0.7311,many-shot,1,1,1,0.5
375,GEMMA2-27B,0.7075,0.7469,0.7177,0.7421,one-shot,3,1,1,0.2
376,GEMMA2-9B,0.7153,0.7387,0.7177,0.7421,few-shot,2,1,1,0.0
377,GEMMA2-27B,0.7091,0.7384,0.7177,0.7507,zero-shot,3,2,,0.0
378,PHI3_MEDIUM,0.7096,0.7675,0.7176,0.74,one-shot,3,2,2,0.0
379,LLAMA3,0.7249,0.787,0.7174,0.7288,few-shot,3,2,2,0.2
380,GEMMA2-27B,0.7087,0.7394,0.7174,0.7496,zero-shot,3,2,,0.5
381,GEMMA2-9B,0.7083,0.7627,0.7174,0.7383,one-shot,3,2,2,1.0
382,GEMMA2-27B,0.7069,0.7468,0.7172,0.7415,one-shot,3,1,1,0.0
383,GEMMA2-27B,0.7088,0.7379,0.7172,0.7501,zero-shot,3,2,,0.2
384,GEMMA2-9B,0.7112,0.7467,0.717,0.7383,few-shot,3,1,1,0.5
385,MISTRAL_NEMO,0.7177,0.7289,0.717,0.7399,many-shot,1,1,2,0.5
386,MISTRAL_NEMO,0.7306,0.7253,0.7169,0.7421,many-shot,3,1,2,0.5
387,GEMMA2-9B,0.7199,0.7617,0.7167,0.7398,many-shot,3,2,1,1.0
388,PHI3_MEDIUM,0.7093,0.7572,0.7166,0.7416,one-shot,3,2,2,0.5
389,MISTRAL_NEMO,0.7735,0.697,0.7165,0.756,few-shot,2,1,2,0.0
390,MISTRAL_NEMO,0.7094,0.7267,0.7165,0.74,many-shot,3,2,1,0.5
391,GEMMA2-27B,0.7101,0.7382,0.7164,0.7523,few-shot,1,2,2,0.5
392,MISTRAL_NEMO,0.7001,0.7548,0.7162,0.7396,few-shot,1,2,2,1.0
393,MISTRAL_NEMO,0.7079,0.7412,0.716,0.7469,one-shot,2,2,2,0.0
394,MISTRAL_NEMO,0.7432,0.6989,0.7159,0.7577,one-shot,1,1,1,0.2
395,MISTRAL_NEMO,0.7177,0.7175,0.7156,0.7446,many-shot,3,2,2,1.0
396,LLAMA3.1,0.7224,0.7121,0.7151,0.7362,few-shot,2,1,2,0.2
397,GEMMA2-9B,0.7068,0.7464,0.7151,0.7324,few-shot,1,1,1,0.2
398,GEMMA2-27B,0.7083,0.7355,0.7149,0.7523,few-shot,1,2,2,0.2
399,GEMMA2-9B,0.6974,0.7717,0.7148,0.7276,few-shot,3,1,2,0.2
400,GEMMA2-9B,0.707,0.746,0.7147,0.7329,few-shot,1,1,1,0.0
401,GEMMA2-9B,0.7974,0.7037,0.7146,0.7474,many-shot,3,1,2,0.0
402,GEMMA2-27B,0.7031,0.7463,0.7144,0.7367,one-shot,3,1,1,1.0
403,GEMMA2-9B,0.7227,0.7588,0.7143,0.7378,many-shot,3,2,1,0.0
404,GEMMA2-9B,0.696,0.7714,0.7136,0.7254,few-shot,3,1,2,0.0
405,MISTRAL_NEMO,0.7404,0.7179,0.7133,0.7462,few-shot,1,1,2,0.5
406,MISTRAL_NEMO,0.781,0.6844,0.7132,0.7732,one-shot,3,2,1,0.2
407,LLAMA3.1,0.7167,0.7124,0.713,0.727,few-shot,2,1,2,0.5
408,GEMMA2-27B,0.7067,0.7333,0.713,0.7507,few-shot,1,2,2,0.0
409,QWEN2,0.7211,0.7445,0.7129,0.7405,few-shot,3,1,2,0.5
410,QWEN2,0.7175,0.7305,0.712,0.7442,few-shot,1,1,2,0.5
411,QWEN2,0.6966,0.744,0.7115,0.7335,many-shot,2,1,2,0.2
412,GEMMA2-9B,0.7181,0.7547,0.7112,0.7351,many-shot,3,2,1,0.5
413,LLAMA3,0.7102,0.7904,0.711,0.7148,few-shot,2,2,2,0.0
414,GEMMA2-27B,0.6967,0.7467,0.7108,0.7329,zero-shot,3,1,,0.5
415,GEMMA2-27B,0.7057,0.7311,0.7108,0.7426,one-shot,2,2,1,1.0
416,GEMMA2-9B,0.7186,0.7555,0.7107,0.734,many-shot,3,2,1,0.2
417,QWEN2.5_14B,0.6951,0.7691,0.7101,0.7233,few-shot,3,1,1,0.5
418,PHI3_MEDIUM,0.6982,0.7543,0.7101,0.7286,many-shot,3,2,2,1.0
419,GEMMA2-27B,0.7059,0.7275,0.7097,0.7431,one-shot,2,2,1,0.5
420,GEMMA2-9B,0.6919,0.7703,0.7096,0.7195,few-shot,3,1,2,0.5
421,GEMMA2-27B,0.7054,0.7272,0.7095,0.7421,one-shot,2,2,1,0.2
422,MISTRAL_NEMO,0.7579,0.6874,0.7093,0.7566,one-shot,2,1,1,0.0
423,GEMMA2-9B,0.793,0.6982,0.7093,0.7431,many-shot,3,1,2,0.2
424,GEMMA2-9B,0.7088,0.7106,0.7089,0.7172,few-shot,1,1,2,0.2
425,QWEN2.5_14B,0.6952,0.7735,0.7089,0.7217,few-shot,2,1,1,0.0
426,QWEN2.5_14B,0.6935,0.7679,0.7088,0.7217,few-shot,3,1,1,0.2
427,GEMMA2-27B,0.7046,0.7265,0.7083,0.741,one-shot,2,2,1,0.0
428,QWEN2.5_14B,0.6939,0.7686,0.7082,0.7217,few-shot,3,1,1,0.0
429,MISTRAL_NEMO,0.698,0.7288,0.7081,0.727,many-shot,3,1,1,0.5
430,LLAMA3.1,0.7509,0.7005,0.708,0.7496,many-shot,3,2,2,0.0
431,GEMMA2-27B,0.7015,0.7284,0.7077,0.7458,few-shot,1,2,2,1.0
432,LLAMA3,0.7071,0.7592,0.7073,0.6986,few-shot,1,2,2,1.0
433,GEMMA2-9B,0.783,0.7019,0.7071,0.7405,many-shot,3,1,2,0.5
434,GEMMA2-9B,0.7053,0.7301,0.707,0.7319,few-shot,2,1,1,1.0
435,QWEN2,0.7102,0.7316,0.707,0.7378,few-shot,1,1,2,1.0
436,QWEN2,0.6918,0.7412,0.7068,0.7286,many-shot,2,1,2,0.5
437,MISTRAL_NEMO,0.7285,0.6925,0.7068,0.7371,few-shot,2,1,1,1.0
438,GEMMA2-9B,0.711,0.7548,0.7068,0.7285,zero-shot,3,2,,1.0
439,GEMMA2-27B,0.6935,0.7432,0.7067,0.7303,zero-shot,3,1,,0.0
440,GEMMA2-27B,0.7123,0.7077,0.7066,0.7585,many-shot,1,2,2,1.0
441,QWEN2,0.7116,0.7479,0.7066,0.7308,many-shot,2,2,2,0.2
442,LLAMA3,0.6885,0.7406,0.7065,0.7141,one-shot,1,1,2,0.0
443,LLAMA3.1,0.747,0.7037,0.7064,0.7453,few-shot,3,2,2,0.2
444,MISTRAL_NEMO,0.6948,0.7324,0.7063,0.7194,few-shot,1,2,1,1.0
445,QWEN2,0.6913,0.7386,0.7061,0.7281,many-shot,2,1,2,0.0
446,MISTRAL_NEMO,0.707,0.7412,0.7061,0.7324,one-shot,1,2,2,0.0
447,MISTRAL_NEMO,0.6894,0.7466,0.7061,0.7276,many-shot,2,2,1,1.0
448,GEMMA2-9B,0.6972,0.7396,0.706,0.7238,few-shot,1,1,1,0.5
449,QWEN2.5_14B,0.6925,0.7702,0.706,0.719,few-shot,2,1,1,0.2
450,LLAMA3.1,0.7498,0.6968,0.7059,0.7474,many-shot,3,2,2,0.5
451,GEMMA2-9B,0.7029,0.7258,0.7057,0.7303,few-shot,2,1,1,0.5
452,MISTRAL_NEMO,0.7051,0.7065,0.7056,0.7458,one-shot,2,2,1,1.0
453,LLAMA3.1,0.7472,0.7012,0.7056,0.7448,few-shot,3,2,2,0.0
454,QWEN2,0.6988,0.7417,0.7054,0.7308,few-shot,2,1,1,0.2
455,MISTRAL_NEMO,0.7715,0.677,0.7053,0.7641,one-shot,3,2,1,0.5
456,GEMMA2-27B,0.6992,0.7276,0.7052,0.7421,few-shot,2,2,2,0.2
457,LLAMA3,0.6866,0.7415,0.7052,0.7136,one-shot,1,1,2,0.5
458,GEMMA2-9B,0.7082,0.7473,0.705,0.7265,zero-shot,3,1,,0.0
459,GEMMA2-27B,0.6968,0.7486,0.705,0.7303,zero-shot,1,2,,0.0
460,GEMMA2-27B,0.6986,0.7358,0.7048,0.7292,one-shot,1,1,1,0.0
461,QWEN2,0.7045,0.7276,0.7047,0.7344,few-shot,2,1,2,1.0
462,GEMMA2-27B,0.698,0.7415,0.7047,0.7254,few-shot,3,1,1,0.0
463,GEMMA2-9B,0.7047,0.7058,0.7046,0.7177,few-shot,1,1,2,0.5
464,GEMMA2-27B,0.6964,0.7485,0.7045,0.7297,zero-shot,1,2,,0.2
465,GEMMA2-9B,0.7098,0.7541,0.7045,0.7258,zero-shot,3,2,,0.5
466,GEMMA2-9B,0.7083,0.753,0.7045,0.7258,zero-shot,3,2,,0.0
467,GEMMA2-27B,0.7039,0.7182,0.7044,0.7452,many-shot,2,2,2,1.0
468,QWEN2.5_14B,0.699,0.7825,0.7044,0.7168,many-shot,1,1,1,1.0
469,QWEN2,0.6992,0.7399,0.7043,0.7303,few-shot,2,1,1,0.0
470,LLAMA3.1,0.7472,0.6978,0.7043,0.7464,many-shot,3,2,2,0.2
471,GEMMA2-27B,0.6976,0.7408,0.7042,0.7254,few-shot,3,1,1,0.2
472,GEMMA2-9B,0.6947,0.7407,0.7041,0.7222,few-shot,1,1,1,1.0
473,GEMMA2-27B,0.6903,0.7375,0.7041,0.727,zero-shot,3,1,,1.0
474,GEMMA2-9B,0.7061,0.704,0.7041,0.7145,few-shot,1,1,2,0.0
475,GEMMA2-27B,0.6959,0.7484,0.704,0.7297,zero-shot,1,2,,0.5
476,QWEN2.5_14B,0.6899,0.7653,0.7039,0.7168,few-shot,3,1,1,1.0
477,MISTRAL_NEMO,0.6907,0.7474,0.7039,0.7227,many-shot,1,2,2,1.0
478,GEMMA2-27B,0.6959,0.7492,0.7037,0.7286,zero-shot,1,2,,1.0
479,QWEN2,0.6989,0.7357,0.7037,0.7319,few-shot,1,1,1,0.0
480,GEMMA2-27B,0.6905,0.7396,0.7037,0.727,zero-shot,3,1,,0.2
481,LLAMA3,0.7128,0.7691,0.7037,0.7122,few-shot,3,2,2,0.5
482,LLAMA3,0.6853,0.7378,0.7035,0.7125,one-shot,1,1,2,0.2
483,GEMMA2-27B,0.7095,0.7031,0.7034,0.756,many-shot,1,2,2,0.0
484,GEMMA2-9B,0.6862,0.7638,0.7034,0.7136,few-shot,3,1,2,1.0
485,QWEN2,0.6989,0.7343,0.7033,0.7319,few-shot,1,1,1,0.2
486,GEMMA2-9B,0.7083,0.7431,0.7033,0.7265,zero-shot,3,1,,0.5
487,QWEN2.5_14B,0.6898,0.7684,0.7033,0.7157,few-shot,2,1,1,0.5
488,GEMMA2-9B,0.7067,0.744,0.7032,0.7254,zero-shot,3,1,,0.2
489,GEMMA2-27B,0.6975,0.7244,0.703,0.7405,few-shot,2,2,2,0.5
490,GEMMA2-9B,0.7075,0.7517,0.7029,0.7242,zero-shot,3,2,,0.2
491,QWEN2.5_14B,0.6888,0.7682,0.7028,0.7147,few-shot,2,1,1,1.0
492,GEMMA2-9B,0.7111,0.7586,0.7027,0.7223,many-shot,1,2,1,1.0
493,GEMMA2-9B,0.712,0.76,0.7025,0.7212,many-shot,1,2,1,0.0
494,QWEN2.5_14B,0.6974,0.7805,0.7024,0.7152,many-shot,1,1,1,0.0
495,GEMMA2-27B,0.7021,0.7149,0.7023,0.7448,many-shot,2,2,2,0.0
496,MISTRAL_NEMO,0.7036,0.7351,0.7023,0.7297,one-shot,1,2,2,0.2
497,GEMMA2-27B,0.7085,0.7008,0.702,0.7562,many-shot,1,2,2,0.5
498,LLAMA3,0.7045,0.7684,0.702,0.713,few-shot,3,2,2,0.0
499,GEMMA2-27B,0.6964,0.7237,0.702,0.7389,few-shot,2,2,2,0.0
500,GEMMA2-27B,0.7084,0.701,0.7017,0.7548,many-shot,1,2,2,0.2
501,QWEN2,0.6885,0.7363,0.7016,0.7243,many-shot,1,1,2,0.0
502,QWEN2,0.709,0.7347,0.7014,0.7292,few-shot,3,1,2,1.0
503,GEMMA2-27B,0.7019,0.7129,0.7013,0.7442,many-shot,2,2,2,0.2
504,GEMMA2-27B,0.6951,0.7316,0.7012,0.726,one-shot,1,1,1,0.2
505,PHI3_MEDIUM,0.6955,0.7342,0.701,0.7262,one-shot,3,2,2,1.0
506,QWEN2.5_14B,0.6953,0.7781,0.7009,0.7136,many-shot,1,1,1,0.5
507,GEMMA2-27B,0.7093,0.6982,0.7009,0.7442,one-shot,1,1,2,0.5
508,GEMMA2-27B,0.6949,0.7242,0.7008,0.7378,few-shot,2,2,2,1.0
509,GEMMA2-27B,0.6931,0.7383,0.7005,0.7211,few-shot,3,1,1,0.5
510,LLAMA3,0.6905,0.7401,0.7004,0.7161,many-shot,2,2,2,1.0
511,QWEN2.5_14B,0.6952,0.777,0.7004,0.7136,many-shot,1,1,1,0.2
512,GEMMA2-9B,0.7027,0.7414,0.7001,0.7222,zero-shot,3,1,,1.0
513,GEMMA2-27B,0.7,0.713,0.7,0.7426,many-shot,2,2,2,0.5
514,LLAMA3,0.6997,0.7778,0.6999,0.7011,few-shot,2,2,2,0.2
515,LLAMA3.1,0.7039,0.7461,0.6999,0.7206,many-shot,2,2,2,0.0
516,GEMMA2-27B,0.6876,0.7459,0.6999,0.7215,zero-shot,1,1,,0.2
517,QWEN2.5_14B,0.6857,0.7682,0.6998,0.7093,few-shot,1,1,1,1.0
518,GEMMA2-27B,0.6873,0.7453,0.6997,0.7211,zero-shot,1,1,,0.5
519,GEMMA2-27B,0.6928,0.7384,0.6996,0.7206,few-shot,3,1,1,1.0
520,GEMMA2-9B,0.7094,0.7552,0.6995,0.7187,many-shot,1,2,1,0.5
521,LLAMA3,0.6861,0.7329,0.6995,0.7163,many-shot,1,1,2,0.2
522,GEMMA2-9B,0.7083,0.7566,0.6994,0.718,many-shot,1,2,1,0.2
523,QWEN2.5_14B,0.697,0.7773,0.6994,0.7131,many-shot,2,1,1,0.2
524,QWEN2.5_14B,0.6971,0.7775,0.6994,0.7131,many-shot,2,1,1,0.0
525,GEMMA2-27B,0.6867,0.7454,0.6991,0.7206,zero-shot,1,1,,0.0
526,GEMMA2-27B,0.6881,0.7428,0.6991,0.7217,zero-shot,2,1,,0.2
527,QWEN2.5_14B,0.6855,0.7684,0.6991,0.7088,few-shot,1,1,1,0.2
528,LLAMA3.1,0.6974,0.7122,0.699,0.7292,one-shot,3,2,2,0.0
529,QWEN2,0.7007,0.7133,0.6989,0.7308,many-shot,3,1,2,1.0
530,MISTRAL_NEMO,0.7448,0.6793,0.6988,0.7458,one-shot,2,1,1,0.2
531,QWEN2.5_14B,0.6851,0.768,0.6987,0.7082,few-shot,1,1,1,0.0
532,GEMMA2-27B,0.6936,0.7285,0.6987,0.7238,one-shot,1,1,1,0.5
533,LLAMA3.1,0.6952,0.713,0.6984,0.7286,one-shot,3,2,2,0.2
534,PHI3_MEDIUM,0.6958,0.7684,0.6984,0.7122,few-shot,3,2,2,0.5
535,LLAMA3,0.6841,0.7342,0.6984,0.7129,many-shot,1,1,2,0.0
536,GEMMA2-27B,0.6876,0.7415,0.6982,0.7211,zero-shot,2,1,,0.0
537,GEMMA2-27B,0.7001,0.7113,0.6982,0.7254,few-shot,1,1,2,0.2
538,PHI3_MEDIUM,0.6968,0.7731,0.6979,0.7113,few-shot,3,2,2,0.2
539,QWEN2,0.7035,0.7462,0.6979,0.7195,many-shot,1,2,2,0.0
540,MISTRAL_NEMO,0.7355,0.6842,0.6977,0.741,one-shot,2,1,1,0.5
541,GEMMA2-9B,0.7118,0.7561,0.6976,0.7152,many-shot,2,2,1,0.5
542,QWEN2,0.6845,0.7322,0.6975,0.7206,many-shot,1,1,2,0.2
543,GEMMA2-9B,0.7116,0.7557,0.6975,0.7152,many-shot,2,2,1,0.0
544,QWEN2,0.7023,0.7454,0.6975,0.7195,many-shot,1,2,2,0.2
545,QWEN2.5_14B,0.6957,0.7766,0.6975,0.7109,many-shot,2,1,1,0.5
546,LLAMA3.1,0.7488,0.6691,0.6971,0.7399,many-shot,1,1,2,0.2
547,QWEN2.5_14B,0.6835,0.7657,0.6971,0.7071,few-shot,1,1,1,0.5
548,PHI3_MEDIUM,0.697,0.7744,0.6971,0.7103,few-shot,3,2,2,0.0
549,LLAMA3.1,0.6936,0.7135,0.697,0.727,one-shot,3,2,2,1.0
550,LLAMA3.1,0.706,0.6894,0.6969,0.7183,few-shot,1,1,2,1.0
551,LLAMA3.1,0.7004,0.7432,0.6969,0.7174,many-shot,2,2,2,0.2
552,GEMMA2-27B,0.6859,0.7407,0.6969,0.719,zero-shot,2,1,,0.5
553,QWEN2,0.703,0.7364,0.6969,0.7217,many-shot,2,2,2,0.0
554,QWEN2.5_14B,0.695,0.7748,0.6964,0.7098,many-shot,2,1,1,1.0
555,MISTRAL_NEMO,0.6896,0.7043,0.6962,0.731,one-shot,1,2,1,1.0
556,GEMMA2-27B,0.6989,0.7087,0.6961,0.7243,few-shot,1,1,2,0.0
557,QWEN2,0.6974,0.7381,0.696,0.7217,many-shot,1,1,1,0.0
558,GEMMA2-9B,0.7001,0.7474,0.696,0.7147,one-shot,2,2,1,1.0
559,GEMMA2-27B,0.6903,0.7285,0.696,0.7206,one-shot,1,1,1,1.0
560,QWEN2,0.6849,0.7258,0.6959,0.7233,one-shot,3,2,2,0.2
561,MISTRAL_NEMO,0.738,0.6834,0.6958,0.7421,few-shot,2,1,2,0.5
562,LLAMA3,0.6819,0.7394,0.6958,0.7114,few-shot,1,1,2,0.0
563,LLAMA3,0.6811,0.7408,0.6956,0.7109,few-shot,1,1,2,0.2
564,GEMMA2-27B,0.7001,0.6962,0.6955,0.7356,one-shot,1,1,2,1.0
565,QWEN2,0.6805,0.7297,0.6954,0.719,one-shot,3,1,2,0.0
566,QWEN2,0.71,0.7347,0.6952,0.7233,many-shot,3,2,2,0.0
567,GEMMA2-27B,0.6938,0.7427,0.6951,0.7179,few-shot,1,2,1,0.0
568,LLAMA3,0.6878,0.7298,0.6951,0.6966,few-shot,1,2,2,0.2
569,GEMMA2-27B,0.7013,0.6937,0.695,0.7383,one-shot,1,1,2,0.0
570,LLAMA3.1,0.698,0.7422,0.6949,0.7157,many-shot,2,2,2,0.5
571,LLAMA3.1,0.747,0.667,0.6949,0.7394,many-shot,1,1,2,0.0
572,GEMMA2-27B,0.6931,0.7219,0.6949,0.7222,one-shot,2,1,1,1.0
573,GEMMA2-9B,0.7089,0.753,0.6948,0.7125,many-shot,2,2,1,0.2
574,GEMMA2-27B,0.6946,0.7438,0.6948,0.7168,few-shot,1,2,1,1.0
575,QWEN2,0.6879,0.7273,0.6946,0.7211,few-shot,1,1,1,0.5
576,GEMMA2-27B,0.6937,0.7414,0.6946,0.7179,few-shot,1,2,1,0.2
577,QWEN2,0.6837,0.7253,0.6946,0.7217,one-shot,3,2,2,0.5
578,GEMMA2-27B,0.6928,0.7198,0.6945,0.7233,one-shot,2,1,1,0.0
579,GEMMA2-27B,0.6946,0.709,0.6944,0.7211,few-shot,1,1,2,0.5
580,GEMMA2-27B,0.6818,0.7414,0.6944,0.7152,zero-shot,1,1,,1.0
581,MISTRAL_NEMO,0.6968,0.7314,0.6943,0.721,one-shot,1,2,2,0.5
582,GEMMA2-27B,0.7008,0.6918,0.694,0.7383,one-shot,1,1,2,0.2
583,GEMMA2-27B,0.6835,0.7358,0.694,0.7168,zero-shot,2,1,,1.0
584,LLAMA3.1,0.6906,0.7101,0.694,0.7238,one-shot,3,2,2,0.5
585,QWEN2,0.7021,0.7222,0.6939,0.7254,few-shot,1,2,2,0.0
586,GEMMA2-9B,0.6948,0.7536,0.6939,0.7109,one-shot,2,2,2,1.0
587,QWEN2,0.6876,0.7103,0.6938,0.7297,zero-shot,1,2,,0.0
588,GEMMA2-9B,0.7058,0.7548,0.6938,0.7104,few-shot,2,2,1,0.2
589,GEMMA2-9B,0.7033,0.7547,0.6936,0.7097,few-shot,1,2,1,0.2
590,GEMMA2-9B,0.699,0.7359,0.6936,0.7157,zero-shot,2,1,,0.2
591,GEMMA2-9B,0.7024,0.7542,0.6934,0.7097,few-shot,1,2,1,0.0
592,GEMMA2-9B,0.7029,0.7515,0.6934,0.7108,few-shot,1,2,1,0.5
593,QWEN2,0.7079,0.732,0.6933,0.7217,many-shot,3,2,2,0.2
