,Model,Precision,Recall,F1-Score,Accuracy,Method,System_Prompt,Query_Template,Examples_Method,Temperature
296,LLAMA3.1,0.5687,0.4276,0.4614,0.5971,one-shot,2,2,2,1.0
297,GEMMA2-9B,0.4945,0.4692,0.4608,0.6115,few-shot,2,2,2,1.0
298,GEMMA2-9B,0.5491,0.4758,0.4606,0.5468,one-shot,3,1,1,0.5
299,QWEN2,0.5029,0.5079,0.4601,0.482,few-shot,3,2,2,0.5
300,QWEN2.5_14B,0.5585,0.4423,0.4572,0.5683,one-shot,2,1,2,0.0
301,QWEN2.5_14B,0.5586,0.4423,0.4567,0.5683,one-shot,2,1,2,0.2
302,LLAMA3.1,0.5682,0.4273,0.456,0.5755,one-shot,3,2,2,0.5
303,QWEN2.5_14B,0.4882,0.5046,0.456,0.518,one-shot,2,1,1,0.2
304,QWEN2.5_14B,0.5473,0.4464,0.4559,0.5683,one-shot,2,1,2,1.0
305,GEMMA2-9B,0.5181,0.4339,0.4552,0.5755,one-shot,3,2,1,0.0
306,GEMMA2-27B,0.4821,0.4522,0.4547,0.5324,few-shot,3,2,2,1.0
307,GEMMA2-27B,0.4593,0.4668,0.4544,0.5468,few-shot,3,2,2,0.5
308,GEMMA2-9B,0.5417,0.4329,0.4538,0.5899,zero-shot,2,2,,0.2
309,QWEN2.5_14B,0.5447,0.44,0.4536,0.5612,one-shot,2,1,2,0.5
310,GEMMA2-9B,0.5417,0.4329,0.453,0.5899,zero-shot,2,2,,0.0
311,QWEN2,0.5782,0.4761,0.4523,0.4964,few-shot,2,2,1,0.0
312,GEMMA2-9B,0.4765,0.4591,0.4522,0.5755,few-shot,1,2,2,1.0
313,GEMMA2-9B,0.5584,0.4618,0.4522,0.5899,few-shot,2,1,2,0.0
314,QWEN2,0.512,0.4695,0.4521,0.5683,few-shot,1,2,1,0.5
315,LLAMA3.1,0.5646,0.4192,0.4513,0.5755,one-shot,3,2,2,0.0
316,LLAMA3.1,0.5939,0.4017,0.4505,0.6547,few-shot,2,2,2,0.5
317,QWEN2.5_14B,0.5475,0.4272,0.4503,0.6475,zero-shot,1,2,,0.5
318,MISTRAL_NEMO,0.6671,0.5085,0.4494,0.5396,few-shot,3,1,1,0.2
319,QWEN2,0.5768,0.4738,0.4494,0.4892,few-shot,2,2,1,0.2
320,GEMMA2-9B,0.5285,0.4272,0.449,0.5612,one-shot,3,1,2,0.5
321,QWEN2,0.5244,0.4957,0.4487,0.482,many-shot,1,2,1,0.2
322,GEMMA2-27B,0.4682,0.441,0.4485,0.5971,one-shot,2,2,1,0.5
323,QWEN2,0.5657,0.4868,0.448,0.482,one-shot,1,2,1,0.5
324,LLAMA3.1,0.5553,0.4168,0.448,0.5683,one-shot,3,2,2,0.2
325,GEMMA2-9B,0.5506,0.4595,0.448,0.5827,few-shot,2,1,2,0.2
326,GEMMA2-27B,0.4566,0.5108,0.4474,0.5396,few-shot,3,1,1,1.0
327,QWEN2.5_14B,0.5478,0.4217,0.4472,0.6403,zero-shot,1,2,,1.0
328,GEMMA2-27B,0.4374,0.5493,0.447,0.5468,few-shot,2,1,1,1.0
329,GEMMA2-27B,0.4641,0.441,0.4469,0.5971,one-shot,2,2,1,0.0
330,GEMMA2-27B,0.4641,0.441,0.4469,0.5971,one-shot,2,2,1,0.2
331,GEMMA2-9B,0.5681,0.4401,0.4461,0.5683,zero-shot,3,1,,0.5
332,QWEN2,0.5188,0.4509,0.4457,0.5396,zero-shot,3,2,,0.2
333,GEMMA2-27B,0.4525,0.4558,0.4453,0.5899,few-shot,1,2,2,0.2
334,QWEN2,0.5307,0.4565,0.445,0.5612,few-shot,1,2,1,0.0
335,QWEN2.5_14B,0.5184,0.4269,0.4446,0.6331,zero-shot,2,2,,0.5
336,QWEN2,0.4543,0.5441,0.4439,0.482,few-shot,3,2,2,0.2
337,QWEN2,0.494,0.5052,0.4433,0.4676,many-shot,1,2,1,0.5
338,GEMMA2-9B,0.5496,0.4548,0.4428,0.5683,few-shot,2,1,2,0.5
339,GEMMA2-9B,0.5637,0.4401,0.4426,0.5683,zero-shot,3,1,,0.2
340,GEMMA2-27B,0.4466,0.4542,0.4418,0.5971,few-shot,1,2,2,0.0
341,QWEN2,0.4762,0.4831,0.4416,0.4892,few-shot,1,2,1,1.0
342,GEMMA2-27B,0.4349,0.5344,0.4407,0.5612,few-shot,1,1,1,0.2
343,LLAMA3.1,0.5847,0.4024,0.4396,0.5899,one-shot,2,2,2,0.2
344,GEMMA2-9B,0.5403,0.4114,0.4393,0.5899,zero-shot,2,2,,1.0
345,GEMMA2-9B,0.54,0.4114,0.4393,0.5899,zero-shot,2,2,,0.5
346,GEMMA2-27B,0.4497,0.4461,0.4389,0.5683,few-shot,1,2,2,0.5
347,GEMMA2-9B,0.5421,0.4544,0.4389,0.554,few-shot,1,1,2,0.0
348,QWEN2,0.5135,0.4462,0.4388,0.5252,zero-shot,3,2,,0.0
349,LLAMA3.1,0.5343,0.3993,0.4386,0.6475,few-shot,1,2,2,0.5
350,GEMMA2-27B,0.4378,0.5019,0.4385,0.554,few-shot,2,1,1,0.5
351,GEMMA2-27B,0.4628,0.4255,0.4383,0.5683,one-shot,2,2,1,1.0
352,GEMMA2-9B,0.5769,0.4337,0.4381,0.5612,zero-shot,3,1,,0.0
353,PHI3.5_MINI,0.4665,0.5005,0.4374,0.4532,many-shot,2,2,2,0.5
354,GEMMA2-9B,0.5234,0.4257,0.4372,0.554,one-shot,3,1,1,1.0
355,LLAMA3.1,0.5356,0.397,0.4371,0.6403,few-shot,1,2,2,0.2
356,GEMMA2-27B,0.4469,0.4407,0.4371,0.5755,few-shot,2,2,2,1.0
357,GEMMA2-9B,0.5373,0.4544,0.437,0.554,few-shot,1,1,2,0.2
358,QWEN2,0.5224,0.4455,0.4365,0.5468,few-shot,1,2,1,0.2
359,GEMMA2-9B,0.4981,0.4473,0.4364,0.5036,one-shot,2,1,2,1.0
360,GEMMA2-27B,0.5076,0.4319,0.4359,0.5683,zero-shot,3,2,,0.2
361,LLAMA3.1,0.5795,0.3983,0.4359,0.5899,one-shot,2,2,2,0.0
362,GEMMA2-27B,0.5085,0.4319,0.4357,0.5683,zero-shot,3,2,,0.0
363,QWEN2,0.4945,0.4543,0.4356,0.4748,many-shot,3,2,2,0.2
364,LLAMA3.1,0.5504,0.3903,0.4342,0.6331,few-shot,2,2,2,0.0
365,LLAMA3.1,0.5303,0.3947,0.4338,0.6331,few-shot,1,2,2,0.0
366,GEMMA2-9B,0.5226,0.4075,0.4322,0.5755,one-shot,3,2,1,0.5
367,GEMMA2-27B,0.4398,0.4349,0.4316,0.554,few-shot,1,2,2,1.0
368,LLAMA3.1,0.5458,0.388,0.4311,0.6259,few-shot,2,2,2,0.2
369,MISTRAL_NEMO,0.6836,0.4871,0.4311,0.5396,few-shot,3,1,1,0.0
370,MISTRAL_NEMO,0.5403,0.3987,0.4311,0.5899,one-shot,3,2,1,0.5
371,QWEN2,0.5061,0.4329,0.4311,0.4029,many-shot,3,2,1,0.0
372,LLAMA3.1,0.541,0.4001,0.4308,0.5827,one-shot,1,2,2,0.0
373,GEMMA2-27B,0.5045,0.4296,0.4303,0.5612,zero-shot,3,2,,0.5
374,GEMMA2-9B,0.5486,0.4246,0.4302,0.554,few-shot,2,1,2,1.0
375,MISTRAL_NEMO,0.7003,0.498,0.4302,0.3597,few-shot,2,1,1,0.2
376,LLAMA3.1,0.5201,0.403,0.4295,0.5827,one-shot,3,2,2,1.0
377,QWEN2.5_14B,0.5078,0.412,0.4291,0.6187,zero-shot,2,2,,1.0
378,GEMMA2-9B,0.5324,0.4504,0.429,0.518,few-shot,1,2,1,1.0
379,GEMMA2-27B,0.4409,0.426,0.4286,0.5755,few-shot,2,2,2,0.0
380,QWEN2.5_14B,0.479,0.4509,0.4284,0.5612,one-shot,1,1,1,0.2
381,GEMMA2-9B,0.5425,0.4182,0.427,0.554,zero-shot,3,1,,1.0
382,GEMMA2-9B,0.5253,0.4462,0.4263,0.5324,few-shot,2,2,1,0.0
383,GEMMA2-27B,0.422,0.5227,0.426,0.5324,few-shot,1,1,1,0.5
384,QWEN2.5_14B,0.4777,0.4489,0.4258,0.554,one-shot,1,1,1,0.0
385,GEMMA2-27B,0.4413,0.42,0.4257,0.554,few-shot,2,2,2,0.2
386,GEMMA2-9B,0.5242,0.4486,0.4256,0.5396,few-shot,2,2,1,0.5
387,QWEN2,0.5468,0.461,0.4254,0.482,one-shot,1,2,1,0.0
388,GEMMA2-27B,0.4335,0.4475,0.4248,0.518,one-shot,1,1,1,1.0
389,MISTRAL_NEMO,0.5975,0.4011,0.4241,0.482,one-shot,3,1,2,0.0
390,QWEN2.5_14B,0.5022,0.4088,0.4241,0.5827,one-shot,1,1,2,1.0
391,QWEN2,0.6076,0.3649,0.4238,0.4964,one-shot,2,2,2,0.0
392,LLAMA3.1,0.5317,0.3954,0.4232,0.5683,one-shot,1,2,2,0.2
393,PHI3_MEDIUM,0.4638,0.4346,0.4223,0.4676,one-shot,1,2,2,0.0
394,PHI3_MEDIUM,0.4638,0.4346,0.4223,0.4676,one-shot,2,2,2,0.0
395,LLAMA3.1,0.5256,0.3863,0.4219,0.6043,few-shot,3,1,2,1.0
396,MISTRAL_NEMO,0.4382,0.4581,0.4218,0.5252,many-shot,3,2,1,0.0
397,QWEN2,0.6185,0.3629,0.4217,0.5036,one-shot,1,2,2,0.2
398,GEMMA2-9B,0.5213,0.4439,0.4213,0.5252,few-shot,2,2,1,0.2
399,PHI3_MEDIUM,0.4704,0.4199,0.4212,0.4676,one-shot,1,2,2,0.2
400,QWEN2,0.617,0.3629,0.4211,0.5036,one-shot,1,2,2,0.0
401,QWEN2,0.4483,0.4857,0.4209,0.518,few-shot,2,2,1,0.5
402,QWEN2,0.5445,0.4563,0.4207,0.4676,one-shot,1,2,1,0.2
403,QWEN2,0.4969,0.4155,0.4204,0.4029,many-shot,3,2,1,0.2
404,LLAMA3.1,0.5492,0.3755,0.4203,0.6259,few-shot,3,2,2,0.0
405,GEMMA2-9B,0.5394,0.4286,0.4197,0.554,one-shot,1,2,1,0.0
406,GEMMA2-9B,0.5383,0.4286,0.4197,0.554,one-shot,1,2,1,0.2
407,LLAMA3.1,0.546,0.3755,0.4193,0.6259,few-shot,3,2,2,0.2
408,PHI3.5_MINI,0.5062,0.4081,0.4182,0.5036,zero-shot,3,2,,0.5
409,QWEN2.5_14B,0.4597,0.4571,0.4173,0.554,one-shot,1,1,1,1.0
410,LLAMA3.1,0.5203,0.3913,0.4172,0.5683,one-shot,2,2,2,0.5
411,QWEN2.5_14B,0.4462,0.4509,0.4162,0.5612,one-shot,1,1,1,0.5
412,GEMMA2-27B,0.4897,0.4064,0.416,0.5683,zero-shot,3,2,,1.0
413,GEMMA2-9B,0.5147,0.4348,0.4155,0.4964,few-shot,1,2,1,0.5
414,QWEN2.5_14B,0.4885,0.3948,0.4141,0.6259,zero-shot,2,2,,0.0
415,QWEN2.5_14B,0.4885,0.3948,0.4141,0.6259,zero-shot,2,2,,0.2
416,LLAMA3.1,0.6088,0.3711,0.4124,0.6691,many-shot,3,1,2,0.2
417,GEMMA2-27B,0.4243,0.4321,0.4113,0.5324,few-shot,1,2,1,1.0
418,QWEN2,0.4851,0.4047,0.4101,0.3813,many-shot,3,2,1,0.5
419,GEMMA2-2B,0.5246,0.3575,0.4096,0.518,zero-shot,2,2,,1.0
420,QWEN2,0.4944,0.43,0.4093,0.4604,one-shot,3,2,1,0.2
421,QWEN2,0.4605,0.3945,0.409,0.5252,few-shot,1,2,2,0.2
422,LLAMA3.1,0.5227,0.3662,0.4088,0.5971,few-shot,3,2,2,0.5
423,GEMMA2-27B,0.4232,0.4204,0.4087,0.5036,one-shot,2,1,1,0.5
424,GEMMA2-27B,0.4195,0.4189,0.4085,0.5108,one-shot,1,1,1,0.2
425,LLAMA3.1,0.62,0.3665,0.4084,0.6547,few-shot,3,1,2,0.2
426,GEMMA2-9B,0.5089,0.4301,0.4082,0.482,few-shot,1,2,1,0.0
427,GEMMA2-27B,0.4304,0.4337,0.4075,0.4964,few-shot,3,2,1,1.0
428,LLAMA3.1,0.5404,0.3625,0.4074,0.6115,many-shot,3,1,2,1.0
429,PHI3.5_MINI,0.4546,0.467,0.4073,0.446,many-shot,2,2,2,1.0
430,PHI3_MEDIUM,0.4179,0.4257,0.4071,0.5468,many-shot,1,2,2,0.0
431,PHI3_MEDIUM,0.4179,0.4257,0.4071,0.5468,many-shot,2,2,2,0.0
432,GEMMA2-9B,0.5303,0.4031,0.4069,0.554,one-shot,1,2,1,1.0
433,GEMMA2-9B,0.5085,0.4301,0.4069,0.482,few-shot,1,2,1,0.2
434,GEMMA2-27B,0.4195,0.4169,0.4064,0.5036,one-shot,1,1,1,0.0
435,MISTRAL_NEMO,0.4699,0.413,0.4059,0.4964,one-shot,1,2,2,0.0
436,MISTRAL_NEMO,0.4713,0.4111,0.4058,0.5036,one-shot,1,2,2,0.2
437,GEMMA2-27B,0.438,0.3954,0.4052,0.5612,few-shot,2,2,2,0.5
438,QWEN2,0.4529,0.4062,0.4051,0.5252,few-shot,2,2,2,0.0
439,QWEN2,0.4889,0.4236,0.405,0.4532,one-shot,3,2,1,0.0
440,MISTRAL_NEMO,0.5039,0.3679,0.4047,0.5612,one-shot,3,2,1,1.0
441,LLAMA3.1,0.4915,0.3908,0.4044,0.5108,many-shot,3,2,2,1.0
442,GEMMA2-27B,0.4173,0.4149,0.4035,0.4964,one-shot,1,1,1,0.5
443,QWEN2,0.4873,0.4259,0.4032,0.4604,one-shot,3,2,1,0.5
444,PHI3.5_MINI,0.4437,0.4183,0.4018,0.4676,few-shot,3,2,2,0.0
445,PHI3.5_MINI,0.4911,0.3968,0.4014,0.482,zero-shot,3,2,,0.0
446,LLAMA3.2_3B,0.5057,0.3801,0.4007,0.5396,one-shot,1,2,2,0.0
447,PHI3_MEDIUM,0.4252,0.3998,0.3995,0.4748,one-shot,2,2,2,0.2
448,QWEN2,0.5073,0.4505,0.3993,0.4101,many-shot,2,2,1,0.0
449,QWEN2,0.5275,0.4076,0.3992,0.4388,one-shot,1,2,1,1.0
450,PHI3.5_MINI,0.4393,0.4183,0.3992,0.4676,few-shot,3,2,2,0.2
451,LLAMA3.1,0.5681,0.3795,0.399,0.5899,one-shot,2,1,2,0.0
452,MISTRAL_NEMO,0.4735,0.4793,0.3988,0.4173,few-shot,3,2,2,0.0
453,GEMMA2-2B,0.514,0.3643,0.3985,0.482,zero-shot,2,2,,0.2
454,GEMMA2-27B,0.4148,0.402,0.3984,0.5036,one-shot,2,1,1,1.0
455,PHI3.5_MINI,0.4873,0.3904,0.3978,0.4748,zero-shot,3,2,,1.0
456,QWEN2,0.423,0.4319,0.3972,0.4964,many-shot,2,2,2,0.0
457,PHI3_MEDIUM,0.4058,0.4125,0.3971,0.5396,many-shot,2,2,2,0.2
458,QWEN2,0.5132,0.4458,0.3971,0.3957,many-shot,2,2,1,0.5
459,QWEN2.5_14B,0.431,0.3935,0.3965,0.5683,zero-shot,1,1,,1.0
460,QWEN2.5_14B,0.4314,0.438,0.3964,0.5252,one-shot,2,1,1,1.0
461,PHI3.5_MINI,0.4855,0.3904,0.3959,0.4748,zero-shot,3,2,,0.2
462,GEMMA2-27B,0.4682,0.3788,0.3958,0.5683,zero-shot,3,1,,1.0
463,QWEN2.5_14B,0.4264,0.3935,0.3943,0.5683,zero-shot,1,1,,0.0
464,GEMMA2-2B,0.5128,0.3617,0.3943,0.4748,zero-shot,2,2,,0.0
465,QWEN2.5_14B,0.4264,0.3935,0.3943,0.5683,zero-shot,1,1,,0.2
466,QWEN2.5_14B,0.4264,0.3935,0.3938,0.5683,zero-shot,1,1,,0.5
467,QWEN2,0.4494,0.3726,0.3933,0.5252,few-shot,1,2,2,0.0
468,QWEN2,0.4215,0.4278,0.3933,0.482,many-shot,2,2,2,0.2
469,QWEN2,0.5333,0.4275,0.3931,0.4317,one-shot,2,2,1,0.0
470,PHI3_MEDIUM,0.3954,0.4095,0.393,0.5108,one-shot,3,2,2,0.2
471,QWEN2,0.4831,0.3936,0.393,0.4173,few-shot,3,2,1,0.2
472,QWEN2,0.4831,0.3936,0.393,0.4173,few-shot,3,2,1,0.0
473,QWEN2.5_14B,0.4264,0.4224,0.3926,0.5108,one-shot,2,1,1,0.5
474,LLAMA3.1,0.4878,0.3553,0.3925,0.5755,few-shot,2,2,2,1.0
475,GEMMA2-27B,0.4117,0.3965,0.3923,0.4964,one-shot,2,1,1,0.0
476,GEMMA2-27B,0.4117,0.3965,0.3923,0.4964,one-shot,2,1,1,0.2
477,MISTRAL_NEMO,0.4401,0.3887,0.3922,0.5468,few-shot,3,2,1,0.5
478,MISTRAL_NEMO,0.5678,0.3752,0.3919,0.4676,one-shot,3,1,2,0.2
479,QWEN2.5_14B,0.4268,0.393,0.3918,0.554,zero-shot,2,1,,0.2
480,QWEN2.5_14B,0.4268,0.393,0.3918,0.554,zero-shot,2,1,,0.0
481,LLAMA3.1,0.5632,0.3708,0.3916,0.5755,one-shot,2,1,2,0.2
482,QWEN2.5_14B,0.4192,0.4326,0.3916,0.518,one-shot,2,1,1,0.0
483,QWEN2,0.4857,0.3889,0.3912,0.4029,few-shot,3,2,1,0.5
484,QWEN2,0.5017,0.4418,0.3908,0.3957,many-shot,2,2,1,0.2
485,MISTRAL_NEMO,0.4511,0.4752,0.3903,0.4173,few-shot,3,2,2,0.5
486,LLAMA3.1,0.5618,0.3531,0.3894,0.6403,many-shot,3,1,2,0.0
487,GEMMA2-9B,0.5072,0.3894,0.3889,0.5252,one-shot,1,2,1,0.5
488,LLAMA3.1,0.5059,0.4035,0.3882,0.4388,many-shot,2,2,2,0.2
489,GEMMA2-9B,0.4897,0.3806,0.3872,0.518,few-shot,1,1,2,1.0
490,MISTRAL_NEMO,0.4685,0.3802,0.3869,0.4604,one-shot,3,2,2,0.0
491,LLAMA3.1,0.5612,0.3648,0.3869,0.5827,one-shot,2,1,2,0.5
492,GEMMA2-2B,0.4668,0.364,0.3866,0.482,zero-shot,2,2,,0.5
493,QWEN2,0.4147,0.4152,0.3866,0.4892,many-shot,1,2,2,0.0
494,LLAMA3.1,0.523,0.3742,0.3865,0.5324,zero-shot,1,2,,0.2
495,PHI3_MEDIUM,0.4088,0.3763,0.3861,0.5468,many-shot,1,2,2,0.2
496,LLAMA3.1,0.4816,0.4068,0.3859,0.4604,many-shot,1,2,2,0.5
497,LLAMA3.1,0.5317,0.3783,0.3859,0.5612,one-shot,3,1,2,0.5
498,QWEN2.5_14B,0.4217,0.3855,0.3859,0.5396,zero-shot,2,1,,1.0
499,LLAMA3.1,0.5036,0.3997,0.3857,0.4388,many-shot,2,2,2,0.0
500,QWEN2,0.4025,0.4568,0.3838,0.446,few-shot,3,2,2,1.0
501,PHI3_MEDIUM,0.4285,0.383,0.3838,0.4173,one-shot,1,2,2,0.5
502,QWEN2,0.5454,0.3523,0.3836,0.518,one-shot,1,2,2,0.5
503,LLAMA3.2_3B,0.4311,0.4571,0.383,0.4892,few-shot,1,2,1,0.2
504,MISTRAL_NEMO,0.4781,0.3859,0.3827,0.4388,one-shot,2,2,2,0.0
505,MISTRAL_NEMO,0.4657,0.3819,0.3826,0.4532,one-shot,3,2,2,0.2
506,MISTRAL_NEMO,0.4241,0.483,0.3817,0.4101,few-shot,3,1,2,0.5
507,MISTRAL_NEMO,0.5294,0.311,0.3816,0.3957,one-shot,2,1,2,0.5
508,LLAMA3,0.5685,0.3374,0.3806,0.5468,zero-shot,1,2,,0.2
509,LLAMA3.2_3B,0.4266,0.432,0.3806,0.482,few-shot,1,2,1,0.0
510,QWEN2,0.4519,0.4669,0.3804,0.3669,few-shot,1,1,2,0.0
511,LLAMA3.2_3B,0.4387,0.3772,0.3804,0.518,one-shot,1,2,2,0.5
512,MISTRAL_NEMO,0.4677,0.4659,0.3799,0.4101,few-shot,3,1,2,0.0
513,LLAMA3.1,0.5902,0.3427,0.3797,0.6475,few-shot,3,1,2,0.0
514,PHI3.5_MINI,0.4141,0.4095,0.3794,0.4245,one-shot,3,2,2,0.5
515,LLAMA3.1,0.5498,0.3516,0.3793,0.554,one-shot,1,2,2,1.0
516,QWEN2,0.4155,0.4527,0.3787,0.4173,few-shot,3,1,2,0.0
517,MISTRAL_NEMO,0.5827,0.4901,0.3786,0.4964,few-shot,3,1,1,0.5
518,PHI3.5_MINI,0.4238,0.3984,0.3786,0.4317,few-shot,3,2,2,0.5
519,LLAMA3.2_3B,0.4665,0.39,0.3782,0.4748,one-shot,3,2,2,0.2
520,QWEN2,0.4436,0.4701,0.3778,0.3525,many-shot,3,1,2,0.2
521,QWEN2,0.4411,0.3824,0.3775,0.5252,zero-shot,3,2,,0.5
522,QWEN2,0.3948,0.3954,0.3774,0.4748,few-shot,2,2,2,1.0
523,MISTRAL_NEMO,0.5869,0.3852,0.3773,0.4892,one-shot,3,1,2,0.5
524,LLAMA3.1,0.6215,0.3496,0.3767,0.5683,one-shot,1,1,2,0.2
525,MISTRAL_NEMO,0.4734,0.3632,0.3764,0.4892,one-shot,2,2,1,1.0
526,MISTRAL_NEMO,0.4339,0.4674,0.3763,0.4101,few-shot,3,2,2,0.2
527,MISTRAL_NEMO,0.456,0.3484,0.3762,0.518,one-shot,2,2,1,0.0
528,QWEN2,0.444,0.3807,0.3754,0.5324,zero-shot,3,2,,1.0
529,GEMMA2-2B,0.4452,0.3639,0.3751,0.5396,zero-shot,1,2,,0.2
530,GEMMA2-9B,0.4604,0.3902,0.3749,0.5468,few-shot,2,2,1,1.0
531,MISTRAL_NEMO,0.7314,0.4624,0.3745,0.3022,few-shot,1,1,1,0.2
532,LLAMA3,0.5741,0.3331,0.3743,0.5468,zero-shot,1,2,,0.5
533,QWEN2,0.3973,0.4097,0.3742,0.482,many-shot,1,2,2,0.2
534,LLAMA3,0.5728,0.3354,0.3742,0.554,zero-shot,1,2,,0.0
535,LLAMA3.1,0.4655,0.3715,0.3737,0.5252,one-shot,2,2,1,0.0
536,LLAMA3,0.5133,0.3284,0.3729,0.4892,zero-shot,3,2,,0.2
537,LLAMA3,0.5128,0.3633,0.3727,0.4245,zero-shot,3,1,,0.2
538,GEMMA2-9B,0.4832,0.3893,0.3725,0.5468,one-shot,1,1,1,0.5
539,LLAMA3.2_3B,0.4314,0.381,0.3725,0.554,few-shot,1,2,2,0.0
540,LLAMA3.2_3B,0.4304,0.3787,0.3725,0.5468,few-shot,1,2,2,0.2
541,PHI3.5_MINI,0.3914,0.4159,0.3723,0.4317,one-shot,3,2,2,1.0
542,LLAMA3,0.5265,0.3548,0.372,0.4101,zero-shot,3,1,,0.0
543,MISTRAL_NEMO,0.3793,0.4187,0.3718,0.5036,many-shot,3,2,1,0.2
544,PHI3.5_MINI,0.4067,0.4005,0.3718,0.4101,one-shot,3,2,2,0.2
545,PHI3_MEDIUM,0.4094,0.3677,0.3714,0.4892,one-shot,3,2,2,0.5
546,MISTRAL_NEMO,0.4301,0.3724,0.371,0.482,one-shot,3,2,2,0.5
547,MISTRAL_NEMO,0.4571,0.3997,0.3707,0.4748,few-shot,3,2,1,1.0
548,QWEN2,0.4998,0.3548,0.3704,0.4964,one-shot,3,2,2,0.2
549,PHI3.5_MINI,0.3735,0.4115,0.3703,0.4964,many-shot,3,2,2,0.0
550,QWEN2,0.4331,0.4009,0.3703,0.4964,zero-shot,2,2,,1.0
551,PHI3_MEDIUM,0.4005,0.396,0.3698,0.446,one-shot,2,2,2,0.5
552,MISTRAL_NEMO,0.5142,0.4154,0.3697,0.3741,few-shot,1,2,2,0.2
553,QWEN2,0.4138,0.3825,0.3696,0.3957,few-shot,3,2,1,1.0
554,LLAMA3.2_3B,0.4557,0.3877,0.3693,0.4676,one-shot,3,2,2,0.0
555,QWEN2,0.3856,0.3888,0.3687,0.518,few-shot,1,2,2,1.0
556,LLAMA3.1,0.4836,0.3092,0.3684,0.4388,few-shot,2,2,1,0.2
557,QWEN2,0.4931,0.3548,0.3683,0.4964,one-shot,3,2,2,0.0
558,MISTRAL_NEMO,0.5037,0.4178,0.3682,0.3813,few-shot,1,2,2,0.0
559,GEMMA2-2B,0.6004,0.3451,0.368,0.5755,few-shot,3,2,2,0.0
560,LLAMA3.1,0.5344,0.3432,0.3676,0.5612,one-shot,1,1,2,0.0
561,QWEN2,0.4705,0.3746,0.3674,0.3813,many-shot,3,2,1,1.0
562,QWEN2,0.5094,0.3408,0.367,0.4892,one-shot,2,2,2,0.5
563,LLAMA3.1,0.56,0.3342,0.3668,0.5468,one-shot,3,1,2,0.2
564,PHI3.5_MINI,0.3696,0.4132,0.3656,0.4892,many-shot,3,2,2,0.2
565,PHI3.5_MINI,0.3823,0.4028,0.3652,0.4173,one-shot,3,2,2,0.0
566,LLAMA3.2_3B,0.4244,0.3624,0.3651,0.5252,one-shot,1,2,2,1.0
567,MISTRAL_NEMO,0.6642,0.3536,0.365,0.482,one-shot,2,1,1,0.0
568,QWEN2,0.4466,0.3441,0.3645,0.518,few-shot,1,2,2,0.5
569,QWEN2.5_14B,0.3991,0.3664,0.3642,0.554,zero-shot,2,1,,0.5
570,MISTRAL_NEMO,0.6315,0.36,0.3641,0.4892,one-shot,2,1,1,0.2
571,GEMMA2-9B,0.4587,0.3774,0.364,0.5108,few-shot,1,1,2,0.5
572,QWEN2,0.4387,0.3665,0.3635,0.5108,zero-shot,1,2,,0.5
573,LLAMA3.1,0.5079,0.3376,0.3634,0.5108,zero-shot,3,2,,0.5
574,LLAMA3.1,0.4798,0.3221,0.3634,0.6259,many-shot,3,1,2,0.5
575,LLAMA3,0.4937,0.3241,0.3632,0.4892,zero-shot,3,2,,0.0
576,QWEN2,0.5232,0.3108,0.3631,0.4892,one-shot,2,2,2,0.2
577,LLAMA3.1,0.4008,0.3428,0.3619,0.5899,many-shot,2,1,2,0.0
578,PHI3_MEDIUM,0.4018,0.3805,0.3618,0.4892,few-shot,2,2,2,0.2
579,MISTRAL_NEMO,0.3919,0.3652,0.3611,0.4676,many-shot,3,2,1,0.5
580,LLAMA3.1,0.4627,0.3079,0.3604,0.446,few-shot,2,2,1,0.0
581,PHI3_MEDIUM,0.3611,0.3853,0.3602,0.4748,one-shot,3,2,2,0.0
582,LLAMA3.1,0.5934,0.3235,0.3602,0.6259,few-shot,3,1,2,0.5
583,QWEN2,0.4942,0.3481,0.3602,0.4892,one-shot,3,2,2,0.5
584,PHI3.5_MINI,0.3643,0.3943,0.3596,0.4604,many-shot,3,2,2,0.5
585,GEMMA2-2B,0.482,0.3351,0.3595,0.4748,zero-shot,3,2,,0.0
586,GEMMA2-2B,0.4819,0.3351,0.3594,0.4748,zero-shot,3,2,,0.2
587,MISTRAL_NEMO,0.3695,0.4085,0.3594,0.4532,many-shot,3,2,1,1.0
588,LLAMA3.1,0.4154,0.3746,0.3587,0.4532,few-shot,3,2,1,0.5
589,QWEN2,0.4677,0.409,0.3584,0.3094,many-shot,3,1,2,0.0
590,LLAMA3.1,0.4731,0.3658,0.3582,0.4676,many-shot,3,2,1,0.2
591,GEMMA2-9B,0.458,0.3761,0.3581,0.5252,one-shot,1,1,1,1.0
592,QWEN2,0.4287,0.3704,0.358,0.482,zero-shot,2,2,,0.0
593,MISTRAL_NEMO,0.4561,0.3549,0.3576,0.446,one-shot,2,2,2,0.5
594,MISTRAL_NEMO,0.3897,0.3764,0.3574,0.4964,one-shot,1,2,2,0.5
595,PHI3.5_MINI,0.4062,0.3889,0.3572,0.4173,many-shot,1,2,2,0.5
596,QWEN2,0.404,0.4019,0.3568,0.4676,many-shot,2,2,2,0.5
597,LLAMA3.1,0.4635,0.3407,0.3563,0.5108,one-shot,2,2,1,0.5
