unique_id,citation_context,citation_class_label,predicted_classes,non_cleaned_prediction
J09-4010_40,â¢ Only qualitative observations of the responses were reported ( no formal evaluation was performed ) ( Lapalme and Kosseim 2003 ; @@CITATION@@ ) .,COMPARES_CONTRASTS,BACKGROUND,"background

this citation indicates that only qualitative observations were reported"
E03-1005_57,"And subderivations headed by A1 with external nonterminals only at the leaves , internal nonterminals elsewhere , have probability 1/a1 ( @@CITATION@@ ) .",BACKGROUND,EXTENDS,"extends

this citation refers to a specific methodological"
W06-2933_9,â¢ Support vector machines for mapping histories to parser actions ( @@CITATION@@ ) .,USES,,"uses

this citation indicates that the paper uses support vector"
E03-1005_55,"@@CITATION@@ , 1998 ) developed a polynomial time PCFG-reduction of DOP1 whose size is linear in the size of the training set , thus converting the exponential number of subtrees to a compact grammar .",BACKGROUND,EXTENDS,"extends

this citation indicates that the work from @"
N01-1009_9,@@CITATION@@ avoids enumerating the various senses for adjectives like fast by exploiting the semantics of the nouns they modify .,BACKGROUND,,"background

this citation provides background information on"
J13-1008_28,@@CITATION@@ have conducted a study on dependency parsing for 21 languages using features that encode whether the values for certain attributes are equal or not for a node and its governor .,BACKGROUND,EXTENDS,"extends

this citation indicates that the study builds upon"
P02-1001_9,"Such approaches have been tried recently in restricted cases ( McCallum et al. , 2000 ; @@CITATION@@b ; Lafferty et al. , 2001 ) .",BACKGROUND,COMPARES_CONTRASTS,"compares_contrasts

this citation is"
J90-3003_4,"The relation between discourse and prosodic phrasing has been examined in some detail by @@CITATION@@ , who argues that each noun phrase in an utterance constitutes a separate prosodic phrase unless it is destressed because of reference to previous discourse .",BACKGROUND,,"background

this citation provides background information on"
W06-2933_1,"By contrast , Turkish ( Oflazer et al. , 2003 ; @@CITATION@@ ) exhibits high root accuracy but consistently low attachment scores ( about 88 % for length 1 and 68 % for length 2 ) .",COMPARES_CONTRASTS,COMPARES_CONTRASTS,"compares_contrasts

this citation is"
J04-3001_7,"The candidate examples that lead to the most disagreements among the different learners are considered to have the highest TUV ( Cohn , Atlas , and Ladner 1994 ; @@CITATION@@ ) .",BACKGROUND,COMPARES_CONTRASTS,"compares_contrasts

this citation is"
P11-1134_15,"Subsequently , we extracted the bilingual phrase table from the aligned corpora using the Moses toolkit ( @@CITATION@@ ) .",USES,USES,"uses

this citation indicates that the researchers are util"
J92-1004_20,"Representative systems are described in Boisen et al. ( 1989 ) , De Mattia and Giachin ( 1989 ) , Niedermair ( 1989 ) , Niemann ( 1990 ) , and @@CITATION@@ .",BACKGROUND,,"background

this citation is providing background information"
J90-3003_12,"Our rules for phonological word formation are adopted , for the most part , from G & G , @@CITATION@@ , and the account of monosyllabic destressing in Selkirk ( 1984 ) .",USES,BACKGROUND,"background

this citation indicates that the rules"
J05-3003_7,"As a generalization , @@CITATION@@ notes that lexicons such as COMLEX tend to demonstrate high precision but low recall .",BACKGROUND,MOTIVATION,"motivation

this citation is providing a reason or"
W06-3813_17,"Such systems extract information from some types of syntactic units ( clauses in ( Fillmore and Atkins , 1998 ; Gildea and Jurafsky , 2002 ; @@CITATION@@ ) ; noun phrases in ( Hull and Gomez , 1996 ; Rosario et al. , 2002 ) ) .",BACKGROUND,USES,"uses

the citation indicates that the systems in question util"
W06-1104_15,"Various approaches for computing semantic relatedness of words or concepts have been proposed , e.g. dictionary-based ( Lesk , 1986 ) , ontology-based ( Wu and Palmer , 1994 ; Leacock and Chodorow , 1998 ) , information-based ( Resnik , 1995 ; @@CITATION@@ ) or distributional ( Weeds and Weir , 2005 ) .",BACKGROUND,BACKGROUND,background
P11-1134_8,"Besides WordNet , the RTE literature documents the use of a variety of lexical information sources ( Bentivogli et al. , 2010 ; @@CITATION@@ ) .",BACKGROUND,USES,"uses

this citation indicates that the research is utilizing"
J09-4010_16,"The question answering system developed by @@CITATION@@ belongs to the merging category of approaches , where the output of an individual method can be used as input to a different method ( this corresponds to Burke 's cascade sub-category ) .",COMPARES_CONTRASTS,USES,"uses

the citation indicates that the system developed by @"
W04-1610_2,"More recently , ( Sebastiani , 2002 ) has performed a good survey of document categorization ; recent works can also be found in ( Joachims , 2002 ) , ( @@CITATION@@ ) , and ( Lewis et al. , 2004 ) .",BACKGROUND,,"background

this citation is providing background information"
J00-4001_2,Discriminant analysis has been employed by researchers in automatic text genre detection ( @@CITATION@@b ; Karlgren and Cutting 1994 ) since it offers a simple and robust solution despite the fact that it presupposes normal distributions of the discriminating variables .,BACKGROUND,,"background

this citation provides background information on"
D13-1115_1,"This model has previously been shown to provide excellent performance on multiple tasks , including prediction of association norms , word substitution errors , semantic inferences , and word similarity ( @@CITATION@@ ; Silberer and Lapata , 2012 ) .",EXTENDS,USES,uses
J06-2002_2,"In other words , existing treatments of gradables in GRE fail to take the `` efficiency of language '' into account ( @@CITATION@@ ; see our Section 2 ) .",BACKGROUND,MOTIVATION,"motivation

this citation is pointing out a short"
J10-3007_18,"Word alignments are used primarily for extracting minimal translation units for machine translation ( MT ) ( e.g. , phrases [ Koehn , Och , and Marcu 2003 ] and rules [ @@CITATION@@ ; Chiang et al. 2005 ] ) as well as for",BACKGROUND,USES,"uses

this citation indicates that word alignments are util"
W00-1312_10,"Following @@CITATION@@ , the IR system ranks documents according to the probability that a document D is relevant given the query Q , P ( D is R IQ ) .",USES,BACKGROUND,background
J05-3003_5,"In modern syntactic theories ( e.g. , lexical-functional grammar [ LFG ] [ Kaplan and Bresnan 1982 ; @@CITATION@@ ; Dalrymple 2001 ] , head-driven phrase structure grammar [ HPSG ] [ Pollard and Sag 1994 ] , tree-adjoining grammar [ TAG ] [ Joshi 1988 ] , and combinatory categorial grammar [ CCG ] [ Ades and Steedman 1982 ] ) , the lexicon is the central repository for much morphological , syntactic , and semantic information .",BACKGROUND,BACKGROUND,background
J91-2003_60,"We have shown elsewhere ( Jensen and Binot 1988 ; @@CITATION@@a , 1987b ) that natural language programs , such as on-line grammars and dictionaries , can be used as referential levels for commonsense reasoning -- for example , to disambiguate PP attachment .",EXTENDS,,"background

this citation provides background information on"
D08-1007_26,"Thus rather than a single training procedure , we can actually partition the examples by predicate , and train a 1For a fixed verb , MI is proportional to @@CITATION@@ 's conditional probability scores for pseudodisambiguation of ( v , n , n â² ) triples : Pr ( v | n ) = Pr ( v , n ) / Pr ( n ) , which was shown to be a better measure of association than co-occurrence frequency f ( v , n ) .",MOTIVATION,EXTENDS,"extends

the citation discusses extending a method by"
