unique_id,citation_context,citation_class_label,predicted_classes,non_cleaned_prediction
J09-4010_3,"In our work , we gather sets of sentences , and assume ( but do not employ ) existing approaches for their organization ( Goldstein et al. 2000 ; Barzilay , Elhadad , and McKeown 2001 ; @@CITATION@@ ) .",BACKGROUND,,"in our work, we collect sets of sentences and assume the availability"
D11-1138_25,criteria and data used in our experiments are based on the work of @@CITATION@@ .,USES,,"in our research, we have utilized experimental methods and datasets that were"
K15-1002_27,"We present experiments on the two standard coreference resolution datasets , ACE-2004 ( NIST , 2004 ) and OntoNotes-5 .0 ( @@CITATION@@ ) .",USES,,the authors of this study conducted experiments using two widely recognized benchmarks in
J09-4010_40,â¢ Only qualitative observations of the responses were reported ( no formal evaluation was performed ) ( Lapalme and Kosseim 2003 ; @@CITATION@@ ) .,COMPARES_CONTRASTS,,the statement indicates that a study or research conducted by lapalme and
E03-1005_57,"And subderivations headed by A1 with external nonterminals only at the leaves , internal nonterminals elsewhere , have probability 1/a1 ( @@CITATION@@ ) .",BACKGROUND,,the statement you've provided seems to be discussing a specific type
W06-2933_9,â¢ Support vector machines for mapping histories to parser actions ( @@CITATION@@ ) .,USES,,the class that supports the use of support vector machines (svms
E03-1005_55,"@@CITATION@@ , 1998 ) developed a polynomial time PCFG-reduction of DOP1 whose size is linear in the size of the training set , thus converting the exponential number of subtrees to a compact grammar .",BACKGROUND,,"the researchers referenced as ""@@citation@@, 1"
N01-1009_9,@@CITATION@@ avoids enumerating the various senses for adjectives like fast by exploiting the semantics of the nouns they modify .,BACKGROUND,,"the class could be ""natural language processing (nlp)"""
J13-1008_28,@@CITATION@@ have conducted a study on dependency parsing for 21 languages using features that encode whether the values for certain attributes are equal or not for a node and its governor .,BACKGROUND,,"the class of this research could be categorized as ""natural language"
P02-1001_9,"Such approaches have been tried recently in restricted cases ( McCallum et al. , 2000 ; @@CITATION@@b ; Lafferty et al. , 2001 ) .",BACKGROUND,,"the class of the provided text can be categorized as ""machine learning"
J90-3003_4,"The relation between discourse and prosodic phrasing has been examined in some detail by @@CITATION@@ , who argues that each noun phrase in an utterance constitutes a separate prosodic phrase unless it is destressed because of reference to previous discourse .",BACKGROUND,,the relationship between discourse and prosodic phrasing has been expl
W06-2933_1,"By contrast , Turkish ( Oflazer et al. , 2003 ; @@CITATION@@ ) exhibits high root accuracy but consistently low attachment scores ( about 88 % for length 1 and 68 % for length 2 ) .",COMPARES_CONTRASTS,,"the provided text discusses the performance of two languages, turkish and another"
J04-3001_7,"The candidate examples that lead to the most disagreements among the different learners are considered to have the highest TUV ( Cohn , Atlas , and Ladner 1994 ; @@CITATION@@ ) .",BACKGROUND,,"title: ""leveraging disagreement among learners for"
P11-1134_15,"Subsequently , we extracted the bilingual phrase table from the aligned corpora using the Moses toolkit ( @@CITATION@@ ) .",USES,,"the class of this sentence would be ""natural language processing"""
J92-1004_20,"Representative systems are described in Boisen et al. ( 1989 ) , De Mattia and Giachin ( 1989 ) , Niedermair ( 1989 ) , Niemann ( 1990 ) , and @@CITATION@@ .",BACKGROUND,,"representative systems are a concept in machine learning, where the goal is"
J90-3003_12,"Our rules for phonological word formation are adopted , for the most part , from G & G , @@CITATION@@ , and the account of monosyllabic destressing in Selkirk ( 1984 ) .",USES,,the sentence provided seems to be discussing linguistic rules related to ph
J05-3003_7,"As a generalization , @@CITATION@@ notes that lexicons such as COMLEX tend to demonstrate high precision but low recall .",BACKGROUND,,class: natural language processing (nlp) and information retrieval
W06-3813_17,"Such systems extract information from some types of syntactic units ( clauses in ( Fillmore and Atkins , 1998 ; Gildea and Jurafsky , 2002 ; @@CITATION@@ ) ; noun phrases in ( Hull and Gomez , 1996 ; Rosario et al. , 2002 ) ) .",BACKGROUND,,"the class for this statement could be ""natural language processing"""
W06-1104_15,"Various approaches for computing semantic relatedness of words or concepts have been proposed , e.g. dictionary-based ( Lesk , 1986 ) , ontology-based ( Wu and Palmer , 1994 ; Leacock and Chodorow , 1998 ) , information-based ( Resnik , 1995 ; @@CITATION@@ ) or distributional ( Weeds and Weir , 2005 ) .",BACKGROUND,,semantic relatedness of words or concepts is a crucial task in
P11-1134_8,"Besides WordNet , the RTE literature documents the use of a variety of lexical information sources ( Bentivogli et al. , 2010 ; @@CITATION@@ ) .",BACKGROUND,,"additionally, other lexical resources and tools have been utilized in recent"
J09-4010_16,"The question answering system developed by @@CITATION@@ belongs to the merging category of approaches , where the output of an individual method can be used as input to a different method ( this corresponds to Burke 's cascade sub-category ) .",COMPARES_CONTRASTS,,"the class for this statement could be ""information retrieval and question answer"
W04-1610_2,"More recently , ( Sebastiani , 2002 ) has performed a good survey of document categorization ; recent works can also be found in ( Joachims , 2002 ) , ( @@CITATION@@ ) , and ( Lewis et al. , 2004 ) .",BACKGROUND,,"more recently, sebastiani (2002) has performed a"
J00-4001_2,Discriminant analysis has been employed by researchers in automatic text genre detection ( @@CITATION@@b ; Karlgren and Cutting 1994 ) since it offers a simple and robust solution despite the fact that it presupposes normal distributions of the discriminating variables .,BACKGROUND,,discriminant analysis is a statistical method used for classifying data into
D13-1115_1,"This model has previously been shown to provide excellent performance on multiple tasks , including prediction of association norms , word substitution errors , semantic inferences , and word similarity ( @@CITATION@@ ; Silberer and Lapata , 2012 ) .",EXTENDS,,"this machine learning model, which was developed by silberer and lap"
J06-2002_2,"In other words , existing treatments of gradables in GRE fail to take the `` efficiency of language '' into account ( @@CITATION@@ ; see our Section 2 ) .",BACKGROUND,,"class: linguistics - semantics and pragmatics, specifically"
J10-3007_18,"Word alignments are used primarily for extracting minimal translation units for machine translation ( MT ) ( e.g. , phrases [ Koehn , Och , and Marcu 2003 ] and rules [ @@CITATION@@ ; Chiang et al. 2005 ] ) as well as for",BACKGROUND,,word alignments play a crucial role in various natural language processing
W00-1312_10,"Following @@CITATION@@ , the IR system ranks documents according to the probability that a document D is relevant given the query Q , P ( D is R IQ ) .",USES,,"in information retrieval systems, ranking documents based on their relevance to"
J05-3003_5,"In modern syntactic theories ( e.g. , lexical-functional grammar [ LFG ] [ Kaplan and Bresnan 1982 ; @@CITATION@@ ; Dalrymple 2001 ] , head-driven phrase structure grammar [ HPSG ] [ Pollard and Sag 1994 ] , tree-adjoining grammar [ TAG ] [ Joshi 1988 ] , and combinatory categorial grammar [ CCG ] [ Ades and Steedman 1982 ] ) , the lexicon is the central repository for much morphological , syntactic , and semantic information .",BACKGROUND,,"class: linguistics, syntax, grammar theories"
J91-2003_60,"We have shown elsewhere ( Jensen and Binot 1988 ; @@CITATION@@a , 1987b ) that natural language programs , such as on-line grammars and dictionaries , can be used as referential levels for commonsense reasoning -- for example , to disambiguate PP attachment .",EXTENDS,,class: natural language processing (nlp) & commonsense re
D08-1007_26,"Thus rather than a single training procedure , we can actually partition the examples by predicate , and train a 1For a fixed verb , MI is proportional to @@CITATION@@ 's conditional probability scores for pseudodisambiguation of ( v , n , n â² ) triples : Pr ( v | n ) = Pr ( v , n ) / Pr ( n ) , which was shown to be a better measure of association than co-occurrence frequency f ( v , n ) .",MOTIVATION,,"to improve the accuracy and performance of the model, we can partition the"
